CIDADE,REG_ADM,ANO,MES,DESC_MES,SEXO,TURNO,TIPO,VEIC,FAIX_ETAR,IDADE,HORA,VITIMA,LOCAL,DIA_SEM,VIA,LAT,LONG,NOME,geometry
SAO PAULO,Metropolitana de São Paulo,2017,10,OUTUBRO,MASCULINO,TARDE,ATROPELAMENTO,PEDESTRE,65-69,66,,PEDESTRE,PUBLICO,QUARTA,Vias Municipais,-23.466729,-46.583952000000004,AVENIDA GUAPIRA,POINT (-5185701.815778298 -2688560.05040307)
SAO PAULO,Metropolitana de São Paulo,2016,8,AGOSTO,MASCULINO,MANHA,OUTROS,MOTOCICLETA,45-49,47,,CONDUTOR,PUBLICO,QUINTA,Vias Municipais,-23.459970000000002,-46.585516999999996,Avenida Paulo Lincoln do Vale Pontim,POINT (-5185876.030781391 -2687739.821282733)
SAO PAULO,Metropolitana de São Paulo,2016,8,AGOSTO,MASCULINO,NOITE,ATROPELAMENTO,PEDESTRE,70-74,73,,PEDESTRE,PUBLICO,SÁBADO,Vias Municipais,-23.462305999999998,-46.582995000000004,RUA ANTONIO CESAR NETO,POINT (-5185595.28302561 -2688023.298590775)
SAO PAULO,Metropolitana de São Paulo,2016,8,AGOSTO,MASCULINO,MADRUGADA,CHOQUE,MOTOCICLETA,25-29,25,,NAO DISPONIVEL,PUBLICO,SEGUNDA,Vias Municipais,-23.528267,-46.587990999999995,AVENIDA MORVAN DIAS DE FIGUEREDO,POINT (-5186151.435201611 -2696029.843721197)
FERRAZ DE VASCONCELOS,Metropolitana de São Paulo,2016,8,AGOSTO,MASCULINO,NOITE,CHOQUE,AUTOMOVEL,18-24,20,,CONDUTOR,PUBLICO,TERÇA,Vias Municipais,-23.5476395,-46.38755,RUA IJIMA,POINT (-5163838.445147517 -2698382.098165438)
ITAQUAQUECETUBA,Metropolitana de São Paulo,2016,8,AGOSTO,FEMININO,MADRUGADA,ATROPELAMENTO,PEDESTRE,18-24,22,,PEDESTRE,PUBLICO,SÁBADO,Rodovias,-23.488592,-46.331713,SP 021,POINT (-5157622.698740093 -2691213.492381582)
SAO PAULO,Metropolitana de São Paulo,2016,8,AGOSTO,FEMININO,MANHA,ATROPELAMENTO,PEDESTRE,35-39,36,,PEDESTRE,PUBLICO,SEGUNDA,Vias Municipais,-23.686585,-46.780218,Rua Abilho Cesar,POINT (-5207550.046958329 -2715263.36825254)
SAO PAULO,Metropolitana de São Paulo,2016,8,AGOSTO,FEMININO,MANHA,ATROPELAMENTO,PEDESTRE,35-39,38,,PEDESTRE,PUBLICO,QUARTA,Vias Municipais,-23.586919,-46.677147999999995,RUA JOÃO CACHOEIRA,POINT (-5196076.347042267 -2703152.571625167)
SAO PAULO,Metropolitana de São Paulo,2016,8,AGOSTO,FEMININO,NOITE,COLISAO,MOTOCICLETA,18-24,21,,PASSAGEIRO,PUBLICO,QUARTA,Vias Municipais,-23.467681,-46.678684000000004,Avenida Padre Orlando Garcia da Silveira,POINT (-5196247.333780128 -2688675.582424312)
SAO PAULO,Metropolitana de São Paulo,2016,8,AGOSTO,MASCULINO,NAO DISPONIVEL,OUTROS,AUTOMOVEL,75-79,75,,CONDUTOR,PUBLICO,SEGUNDA,Rodovias,-23.42522386,-46.57364538,BR 381,POINT (-5184554.488088097 -2683523.913835775)
